ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem,matematica,portugues,ida_next,ian_next,defasagem_next,delta_ida_next,delta_ian_next,delta_defasagem_next,target_risco
RA-1121,Aluno-1121,2023,FASE 2,2L,,Masculino,2023.0,Pública,Topázio,8.049,10.0,8.0,9.9,0.0,6.26,8.75,9.84,0.0,6.5,9.5,6.666666666666667,10.0,0.0,-1.333333333333333,0.0,0.0,1
RA-1122,ALUNO-1122,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.4,10.0,0.0,,,,0
RA-1122,ALUNO-1122,2021,4.0,L,,,,Escola Pública,Ametista,7.906,10.0,8.4,5.8,8.8,7.5,7.8,8.3,0.0,,,8.777777777777779,10.0,,0.3777777777777782,0.0,,0
RA-1122,ALUNO-1122,2022,5.0,K,,,2021.0,Escola Pública,Topázio,8.71196797863248,10.0,8.777777777777779,9.615384615384617,8.33334,7.5,7.5,8.500007499999999,-1.0,8.0,8.333333333333334,6.9,10.0,0.0,-1.8777777777777782,0.0,,1
RA-1122,Aluno-1122,2023,FASE 2,2L,11.0,Masculino,2023.0,Pública,Ametista,7.3715,10.0,6.9,9.3,0.0,6.89,7.291666667,8.616666667,0.0,5.2,8.5,5.333333333333333,10.0,1.0,-1.5666666666666673,0.0,1.0,1
RA-1123,ALUNO-1123,2021,4.0,G,,,,Rede Decisão,Ametista,7.634,5.0,7.5,8.6,7.5,6.3,8.3,8.5,-2.0,,,7.866666666666666,2.5,,0.36666666666666625,-2.5,,0
RA-1123,ALUNO-1123,2022,4.0,P,,,2019.0,Rede Decisão,Ametista,7.815768210526317,2.5,7.866666666666666,9.201754385964913,8.33334,6.875,7.8125,9.25,-1.0,7.5,9.0,5.3,5.0,-1.0,-2.5666666666666664,2.5,,1
RA-1124,ALUNO-1124,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.0,5.0,-2.0,,,,0
RA-1124,ALUNO-1124,2021,4.0,F,,,,Escola Pública,Ametista,7.264,5.0,6.0,8.6,7.9,5.6,8.1,8.4,-2.0,,,6.466666666666666,5.0,,0.4666666666666659,0.0,,0
RA-1124,ALUNO-1124,2022,5.0,K,,,2021.0,Escola Pública,Ametista,7.498492675990676,5.0,6.466666666666666,9.213286713286712,7.08334,5.625,7.5,9.208340000000002,-1.0,6.166666666666667,6.833333333333333,3.0,5.0,-2.0,-3.466666666666666,0.0,,1
RA-1125,ALUNO-1125,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,3.25,5.0,,,,,0
RA-1125,ALUNO-1125,2022,1.0,F,,,2022.0,,Ágata,6.306945444444445,5.0,3.25,9.72222222222222,9.50002,5.625,5.0,5.999995,-1.0,5.5,1.0,4.0,10.0,0.0,0.75,5.0,,1
RA-1126,ALUNO-1126,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.0,5.0,-1.0,,,,0
RA-1126,ALUNO-1126,2021,3.0,G,,,,Escola Pública,Quartzo,5.047,5.0,4.0,3.3,7.1,7.5,6.7,4.8,-1.0,,,3.444444444444444,5.0,,-0.5555555555555558,0.0,,0
RA-1126,ALUNO-1126,2022,3.0,G,,,2021.0,Escola Pública,Quartzo,4.786323286324786,5.0,3.444444444444444,5.799679487179487,0.0,5.625,7.5,5.6249925,-1.0,5.5,1.333333333333333,,5.0,-1.0,,0.0,,0
RA-1127,ALUNO-1127,2021,3.0,A,,,,Rede Decisão,Ametista,7.547,10.0,5.5,7.8,9.2,6.3,7.9,7.8,0.0,,,7.166666666666667,5.0,,1.666666666666667,-5.0,,0
RA-1127,ALUNO-1127,2022,3.0,A,,,2018.0,Rede Decisão,Ametista,7.628620754385966,5.0,7.166666666666667,9.736842105263158,10.00002,5.0,7.8125,7.333335,-1.0,7.166666666666667,6.333333333333333,6.9,10.0,0.0,-0.2666666666666666,5.0,,1
RA-1127,Aluno-1127,2023,FASE 2,2N,,Feminino,2023.0,Pública,Topázio,8.3167,10.0,6.9,9.9,8.5,5.02,8.125,9.01,0.0,5.0,8.7,5.833333333333333,10.0,0.0,-1.0666666666666673,0.0,0.0,1
RA-1128,ALUNO-1128,2021,4.0,F,,,,Rede Decisão,Ametista,7.961,5.0,8.1,8.9,9.2,5.0,8.8,8.9,-1.0,,,8.666666666666666,5.0,,0.5666666666666664,0.0,,0
RA-1128,ALUNO-1128,2022,5.0,B,,,2018.0,Rede Decisão,Topázio,8.28217875925926,5.0,8.666666666666666,9.056712962962962,8.33334,8.75,6.458333333333334,9.4166775,-1.0,8.166666666666666,8.166666666666666,3.5,5.0,-1.0,-5.166666666666666,0.0,,1
RA-1129,ALUNO-1129,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.8,10.0,0.0,,,,0
RA-1129,Aluno-1129,2023,FASE 2,2N,11.0,Masculino,2023.0,Pública,Ametista,7.309333333,10.0,7.8,9.2,0.0,6.27,7.916666667,7.503333333,0.0,6.8,8.7,6.833333333333333,10.0,0.0,-0.9666666666666668,0.0,0.0,1
RA-113,ALUNO-113,2021,2.0,K,,,,Escola Pública,Ágata,6.664,5.0,4.6,7.1,9.5,7.5,8.1,6.6,-1.0,,,3.7,5.0,-1.0,-0.8999999999999995,0.0,0.0,1
RA-113,Aluno-113,2022,4,A,15.0,Menina,2017.0,Rede Decisão,Quartzo,3.032,5.0,3.7,0.0,0.0,5.0,,3.792,-1.0,3.3,5.5,6.666666666666667,5.0,-1.0,2.966666666666667,0.0,0.0,0
RA-1130,ALUNO-1130,2021,2.0,N,,,,Rede Decisão,Topázio,9.107,5.0,9.5,10.0,10.0,7.5,9.8,9.9,-1.0,,,9.111111111111112,10.0,,-0.3888888888888875,5.0,,1
RA-1130,ALUNO-1130,2022,3.0,K,,,2019.0,Rede Decisão,Topázio,8.815164203703704,10.0,9.111111111111112,9.907407407407408,9.16668,6.25,8.28125,8.208337499999999,-1.0,8.333333333333334,9.666666666666666,7.3,10.0,0.0,-1.8111111111111127,0.0,,1
RA-1130,Aluno-1130,2023,FASE 2,2N,11.0,Masculino,2023.0,Pública,Topázio,8.0037,10.0,7.3,8.4,8.5,7.52,7.708333333,7.503333333,0.0,6.3,8.2,4.333333333333333,10.0,0.0,-2.966666666666667,0.0,0.0,1
RA-1131,ALUNO-1131,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,9.1,5.0,-1.0,,,,0
RA-1131,Aluno-1131,2023,FASE 2,2N,12.0,Feminino,2023.0,Pública,Topázio,8.316133333,5.0,9.1,9.9,7.9,5.02,8.75,9.286666667,-1.0,8.3,9.8,8.333333333333334,10.0,0.0,-0.7666666666666657,5.0,1.0,1
RA-1132,ALUNO-1132,2022,,,,,,Rede Decisão,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.8,5.0,-1.0,,,,0
RA-1133,ALUNO-1133,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.5,10.0,0.0,,,,0
RA-1133,Aluno-1133,2023,FASE 2,2N,10.0,Feminino,2023.0,Pública,Topázio,8.600033333,10.0,6.5,10.0,9.5,6.27,8.541666667,9.343333333,0.0,5.0,8.0,4.5,10.0,1.0,-2.0,0.0,1.0,1
RA-1134,ALUNO-1134,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.8,10.0,0.0,,,,0
RA-1134,Aluno-1134,2023,FASE 2,2N,11.0,Masculino,2023.0,Pública,Ametista,7.769866667,10.0,6.8,9.7,8.0,3.76,7.916666667,7.56,0.0,5.5,8.0,6.0,10.0,0.0,-0.7999999999999998,0.0,0.0,1
RA-1135,ALUNO-1135,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,9.05,5.0,,,,,0
RA-1135,ALUNO-1135,2022,0.0,Y,,,2022.0,,Ametista,7.369327063492064,5.0,9.05,8.317460317460318,8.500020000000001,7.5,3.125,7.416665,-1.0,8.266666666666667,9.833333333333334,7.2,10.0,0.0,-1.8500000000000005,5.0,,1
RA-1136,ALUNO-1136,2021,4.0,E,,,,Escola Pública,Topázio,8.292,5.0,8.2,9.2,8.8,7.5,8.8,9.1,-1.0,,,7.477777777777778,5.0,,-0.7222222222222214,0.0,,1
RA-1136,ALUNO-1136,2022,5.0,B,,,2019.0,Escola Pública,Ametista,7.367519229847495,5.0,7.477777777777778,8.088984204793029,7.08333,8.125,5.833333333333334,8.2500025,-1.0,8.166666666666666,4.833333333333333,6.6,5.0,-1.0,-0.8777777777777782,0.0,,1
RA-1136,Aluno-1136,2023,FASE 2,2P,13.0,Feminino,2023.0,Pública,Agata,6.7351,5.0,6.6,8.1,6.8,2.52,8.333333333,7.723333333,-1.0,4.8,8.3,1.6666666666666667,5.0,-1.0,-4.933333333333333,0.0,0.0,1
RA-1137,ALUNO-1137,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.5,10.0,0.0,,,,0
RA-1137,Aluno-1137,2023,FASE 2,2R,10.0,Feminino,2023.0,Pública,Topázio,8.743366667,10.0,6.5,9.8,9.5,6.27,9.375,9.843333333,0.0,6.0,7.0,3.5,10.0,1.0,-3.0,0.0,1.0,1
RA-1138,ALUNO-1138,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.888888888888889,10.0,,,,,0
RA-1138,ALUNO-1138,2022,4.0,B,,,2022.0,,Topázio,8.28325764036921,10.0,7.888888888888889,8.683646812957157,7.5,7.5,8.4375,8.1250025,-1.0,7.666666666666667,7.666666666666667,9.3,5.0,-1.0,1.4111111111111114,-5.0,,0
RA-1139,ALUNO-1139,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.3,10.0,0.0,,,,0
RA-1139,Aluno-1139,2023,FASE 2,2R,11.0,Masculino,2023.0,Pública,Ametista,7.6647,10.0,5.3,9.1,8.5,5.64,8.125,7.79,0.0,6.3,4.3,4.666666666666667,10.0,1.0,-0.6333333333333329,0.0,1.0,1
RA-114,ALUNO-114,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.3,5.0,-2.0,,,,0
RA-114,Aluno-114,2022,4,A,16.0,Menino,2022.0,Escola Pública,Quartzo,5.894,5.0,5.3,6.3,7.9,7.5,,5.0,-2.0,6.0,4.5,5.6,5.0,-2.0,0.2999999999999998,0.0,0.0,0
RA-1140,ALUNO-1140,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.5,5.0,-2.0,,,,0
RA-1140,ALUNO-1140,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.3,10.0,0.0,,,,0
RA-1140,Aluno-1140,2023,FASE 2,2R,11.0,Feminino,2023.0,Pública,Ametista,7.703533333,10.0,7.3,8.7,4.7,7.52,7.708333333,7.62,0.0,8.5,6.0,7.0,10.0,0.0,-0.2999999999999998,0.0,0.0,0
RA-1141,ALUNO-1141,2021,2.0,P,,,,Escola Pública,Ametista,6.969,5.0,6.9,5.0,7.4,7.5,8.1,8.9,-2.0,,,6.166666666666667,5.0,,-0.7333333333333334,0.0,,1
RA-1141,ALUNO-1141,2022,3.0,D,,,2019.0,Escola Pública,Quartzo,5.604466564270153,5.0,6.166666666666667,4.647331154684096,7.08333,7.5,5.0,4.91667,-1.0,7.5,5.0,5.9,5.0,-1.0,-0.2666666666666666,0.0,,0
RA-1141,Aluno-1141,2023,FASE 2,2R,12.0,Feminino,2023.0,Pública,Ametista,7.2757,5.0,5.9,8.8,9.0,7.52,7.708333333,7.113333333,-1.0,5.5,6.2,4.166666666666667,10.0,0.0,-1.7333333333333334,5.0,1.0,1
RA-1142,ALUNO-1142,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,10.0,10.0,0.0,,,,0
RA-1142,Aluno-1142,2023,FASE 2,2R,11.0,Feminino,2023.0,Pública,Topázio,9.175033333,10.0,10.0,10.0,9.0,7.52,8.541666667,8.343333333,0.0,10.0,10.0,8.5,10.0,0.0,-1.5,0.0,0.0,1
RA-1143,ALUNO-1143,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.3,5.0,-1.0,,,,0
RA-1143,ALUNO-1143,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.3,5.0,-2.0,,,,0
RA-1143,Aluno-1143,2023,FASE 3,3A,15.0,Feminino,2023.0,Pública,Agata,6.445933333,5.0,5.3,7.0,8.8,6.26,7.5,6.2075,-2.0,6.0,6.3,3.1666666666666665,2.5,-3.0,-2.1333333333333333,-2.5,-1.0,1
RA-1144,ALUNO-1144,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.083333333333334,5.0,,,,,0
RA-1144,ALUNO-1144,2022,0.0,M,,,2022.0,,Ágata,6.921727523809524,5.0,8.083333333333334,6.785714285714285,10.00002,5.0,5.3125,7.08333,-1.0,6.833333333333333,9.333333333333334,8.0,10.0,0.0,-0.08333333333333393,5.0,,1
RA-1145,ALUNO-1145,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.8,10.0,1.0,,,,0
RA-1146,ALUNO-1146,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.1,10.0,0.0,,,,0
RA-1146,ALUNO-1146,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,3.7,5.0,-1.0,,,,0
RA-1146,Aluno-1146,2023,FASE 3,3B,14.0,Feminino,2023.0,Pública,Agata,6.689583333,5.0,3.7,8.8,9.6,6.26,7.1875,6.965,-1.0,5.0,3.3,2.0,5.0,-2.0,-1.7000000000000002,0.0,-1.0,1
RA-1147,ALUNO-1147,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.9,5.0,-1.0,,,,0
RA-1147,ALUNO-1147,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.7,5.0,-1.0,,,,0
RA-1147,Aluno-1147,2023,FASE 3,3B,,Feminino,2023.0,Pública,Ametista,7.072983333,5.0,6.7,8.3,8.3,6.26,7.1875,7.0075,-1.0,5.0,7.5,3.1666666666666665,5.0,-1.0,-3.5333333333333337,0.0,0.0,1
RA-1148,ALUNO-1148,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.7,10.0,1.0,,,,0
RA-1149,ALUNO-1149,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.2,5.0,-1.0,,,,0
RA-1149,Aluno-1149,2023,FASE 3,3C,,Feminino,2023.0,Pública,Ametista,7.410108333,5.0,7.2,9.8,8.3,2.52,7.96875,8.1725,-1.0,6.0,6.8,6.0,5.0,-1.0,-1.2000000000000002,0.0,0.0,1
RA-115,ALUNO-115,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,3.8,5.0,-2.0,,,,0
RA-115,Aluno-115,2022,4,A,16.0,Menina,2019.0,Escola Pública,Quartzo,5.886,5.0,3.8,6.8,8.3,6.3,,5.583,-2.0,3.0,5.7,4.2,5.0,-1.0,0.40000000000000036,0.0,1.0,1
RA-115,Aluno-115,2023,FASE 5,5A,16.0,Feminino,2019.0,Pública,Agata,6.319141667,5.0,4.2,7.1,8.8,5.0,7.34375,7.215,-1.0,3.7,3.8,4.166666666666667,5.0,-2.0,-0.033333333333333215,0.0,-1.0,0
RA-1150,ALUNO-1150,2021,1.0,G,,,,Escola Pública,Ametista,7.318,5.0,5.8,8.8,8.0,7.5,8.3,7.6,-1.0,,,6.416666666666666,5.0,,0.6166666666666663,0.0,,0
RA-1150,ALUNO-1150,2022,1.0,G,,,2018.0,Escola Pública,Ametista,7.181471298245615,5.0,6.416666666666666,8.771929824561404,9.000020000000001,5.0,5.9375,8.25,-1.0,8.0,4.833333333333333,6.7,2.5,-3.0,0.2833333333333341,-2.5,,0
RA-1150,Aluno-1150,2023,FASE 3,3C,16.0,Masculino,2023.0,Pública,Ametista,7.076008333,2.5,6.7,9.8,9.2,2.52,7.96875,7.835,-3.0,7.0,6.5,6.833333333333333,5.0,-2.0,0.13333333333333286,2.5,1.0,1
RA-1151,ALUNO-1151,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.8,5.0,-1.0,,,,0
RA-1151,ALUNO-1151,2021,3.0,L,,,,Escola Pública,Ágata,5.931,5.0,7.8,5.3,0.0,7.5,7.9,6.3,-1.0,,,6.744444444444444,5.0,,-1.0555555555555562,0.0,,1
RA-1151,ALUNO-1151,2022,4.0,L,,,2021.0,Escola Pública,Ágata,6.797050461511668,5.0,6.744444444444444,7.850182863113898,8.75001,5.625,6.40625,6.499995,-1.0,6.333333333333333,6.5,8.3,10.0,0.0,1.5555555555555571,5.0,,1
RA-1151,Aluno-1151,2023,FASE 3,3C,,Feminino,2023.0,Pública,Ametista,7.829958333,10.0,8.3,9.5,7.5,2.52,7.65625,7.545,0.0,7.3,8.8,9.0,10.0,1.0,0.6999999999999993,0.0,1.0,1
RA-1152,ALUNO-1152,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.0,10.0,,,,,0
RA-1152,ALUNO-1152,2022,2.0,B,,,2022.0,,Topázio,8.143057777777779,10.0,7.0,9.055555555555555,10.00002,7.5,6.041666666666667,7.888890000000001,-1.0,8.0,6.0,6.8,5.0,-1.0,-0.20000000000000018,-5.0,,0
RA-1153,ALUNO-1153,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,3.75,5.0,,,,,0
RA-1153,ALUNO-1153,2022,3.0,E,,,2022.0,,Ágata,6.050593571428572,5.0,3.75,7.357142857142857,7.91667,7.5,6.875,5.49999,-1.0,4.5,3.0,7.2,5.0,-1.0,3.45,0.0,,0
RA-1153,Aluno-1153,2023,FASE 3,3D,14.0,Feminino,2023.0,Pública,Ametista,7.968658333,5.0,7.2,10.0,7.9,7.52,7.65625,8.63,-1.0,6.7,7.8,8.5,5.0,-1.0,1.2999999999999998,0.0,0.0,0
RA-1154,ALUNO-1154,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.25,5.0,,,,,0
RA-1154,ALUNO-1154,2022,1.0,L,,,2022.0,,Ametista,7.216203925925925,5.0,6.25,9.62962962962963,7.83334,7.5,5.625,7.222219999999999,-1.0,9.5,3.0,5.1,10.0,0.0,-1.1500000000000004,5.0,,1
RA-1154,Aluno-1154,2023,FASE 3,3F,13.0,Masculino,2023.0,Pública,Ametista,7.701125,10.0,5.1,9.3,9.6,5.63,7.65625,7.67,0.0,5.3,5.0,8.0,5.0,-1.0,2.9000000000000004,-5.0,-1.0,0
RA-1155,ALUNO-1155,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.7,10.0,0.0,,,,0
RA-1155,ALUNO-1155,2021,0.0,R,,,,Escola Pública,Topázio,9.048,10.0,7.7,10.0,9.5,7.5,8.4,9.8,0.0,,,7.583333333333333,10.0,,-0.11666666666666714,0.0,,0
RA-1155,ALUNO-1155,2022,0.0,G,,,2021.0,Escola Pública,Ametista,7.973275077441079,10.0,7.583333333333333,8.053872053872054,9.50002,7.5,5.625,7.91666,-1.0,7.0,8.166666666666666,8.0,5.0,-1.0,0.41666666666666696,-5.0,,0
RA-1155,Aluno-1155,2023,FASE 3,3F,14.0,Feminino,2023.0,Pública,Ametista,7.821633333,5.0,8.0,9.2,9.2,5.63,7.5,8.2925,-1.0,6.7,8.2,4.666666666666667,5.0,-1.0,-3.333333333333333,0.0,0.0,1
RA-1156,ALUNO-1156,2021,4.0,A,,,,Escola Pública,Ágata,6.73,10.0,6.5,5.3,8.8,5.6,7.0,6.2,0.0,,,5.555555555555556,5.0,,-0.9444444444444438,-5.0,,1
RA-1156,ALUNO-1156,2022,4.0,B,,,2019.0,Escola Pública,Quartzo,5.562542284489457,5.0,5.555555555555556,6.168615866891729,0.0,7.5,7.34375,6.166665,-1.0,6.833333333333333,6.666666666666667,5.3,10.0,0.0,-0.2555555555555564,5.0,,1
RA-1156,Aluno-1156,2023,FASE 3,3F,12.0,Feminino,2023.0,Pública,Ametista,7.340775,10.0,5.3,9.2,8.3,2.52,7.96875,7.7925,0.0,6.2,6.0,2.0,10.0,1.0,-3.3,0.0,1.0,1
RA-1157,ALUNO-1157,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.1,10.0,0.0,,,,0
RA-1157,ALUNO-1157,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.7,5.0,-1.0,,,,0
RA-1157,Aluno-1157,2023,FASE 3,3G,14.0,Masculino,2023.0,Pública,Ametista,7.086633333,5.0,5.7,8.8,9.2,6.26,7.5,7.0025,-1.0,5.0,6.3,7.0,5.0,-1.0,1.2999999999999998,0.0,0.0,0
RA-1158,ALUNO-1158,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.3,5.0,-1.0,,,,0
RA-1159,ALUNO-1159,2021,5.0,L,,,,Rede Decisão,Ametista,8.014,5.0,8.6,8.3,8.8,7.5,8.3,8.4,-1.0,,,6.844444444444444,5.0,,-1.7555555555555555,0.0,,1
RA-1159,ALUNO-1159,2022,6.0,A,,,2019.0,Rede Decisão,Ametista,7.875768381520724,5.0,6.844444444444444,9.00661079649251,9.16668,6.875,8.125,8.944446666666666,-1.0,4.266666666666667,8.5,3.1,10.0,0.0,-3.744444444444444,5.0,,1
RA-116,ALUNO-116,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.9,5.0,-2.0,,,,0
RA-116,Aluno-116,2022,4,B,16.0,Menina,2019.0,Escola Pública,Ágata,6.854,5.0,5.9,8.1,5.8,6.3,,7.792,-2.0,5.0,7.2,4.7,5.0,-2.0,-1.2000000000000002,0.0,0.0,1
RA-116,Aluno-116,2023,FASE 5,5A,17.0,Feminino,2019.0,Pública,Agata,6.433075,5.0,4.7,7.6,6.7,5.0,7.96875,7.5475,-2.0,2.3,5.0,4.5,5.0,-2.0,-0.20000000000000018,0.0,0.0,0
RA-1160,ALUNO-1160,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.8,10.0,0.0,,,,0
RA-1160,ALUNO-1160,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,2.7,10.0,0.0,,,,0
RA-1160,Aluno-1160,2023,FASE 3,3I,,Masculino,2023.0,Pública,Agata,6.636166667,10.0,2.7,8.7,9.6,2.52,6.875,7.2575,0.0,4.8,2.7,3.1666666666666665,5.0,-1.0,0.46666666666666634,-5.0,-1.0,0
RA-1161,ALUNO-1161,2021,3.0,L,,,,Escola Pública,Ágata,6.458,5.0,6.9,6.1,7.9,3.8,5.8,8.1,-2.0,,,6.5,5.0,,-0.40000000000000036,0.0,,0
RA-1161,ALUNO-1161,2022,4.0,L,,,2018.0,Escola Pública,Ágata,6.775990920062696,5.0,6.5,7.333072100313479,8.33334,5.625,6.71875,7.2083375,-1.0,6.5,4.666666666666667,6.3,10.0,0.0,-0.20000000000000018,5.0,,1
RA-1162,ALUNO-1162,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.183333333333334,5.0,,,,,0
RA-1162,ALUNO-1162,2022,0.0,V,,,2022.0,,Ametista,7.300023367521367,5.0,7.183333333333334,8.504273504273504,8.500020000000001,7.5,5.625,7.5,-1.0,5.8,8.566666666666666,6.0,10.0,0.0,-1.1833333333333336,5.0,,1
RA-1162,Aluno-1162,2023,FASE 3,3K,13.0,Feminino,2023.0,Pública,Ametista,7.44215,10.0,6.0,8.5,8.3,3.77,7.8125,7.7525,0.0,7.3,5.5,5.666666666666667,10.0,0.0,-0.33333333333333304,0.0,0.0,0
RA-1163,ALUNO-1163,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,3.75,5.0,,,,,0
RA-1163,ALUNO-1163,2022,7.0,D,,,2022.0,,Ágata,6.944792333333333,5.0,3.75,9.166666666666666,9.58335,7.5,7.03125,7.249995,-1.0,0.5,7.0,7.2,5.0,-1.0,3.45,0.0,,0
RA-1163,Aluno-1163,2023,FASE 3,3L,14.0,Masculino,2023.0,Pública,Ametista,7.749391667,5.0,7.2,9.3,8.8,7.52,7.65625,7.75,-1.0,7.0,6.7,7.833333333333333,10.0,0.0,0.6333333333333329,5.0,1.0,1
RA-1164,ALUNO-1164,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.2,5.0,-1.0,,,,0
RA-1164,ALUNO-1164,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.8,10.0,0.0,,,,0
RA-1165,ALUNO-1165,2021,3.0,F,,,,Escola Pública,Ametista,7.765,5.0,7.2,8.6,7.9,7.5,7.7,8.9,-1.0,,,6.666666666666667,5.0,,-0.5333333333333332,0.0,,0
RA-1165,ALUNO-1165,2022,4.0,B,,,2019.0,Escola Pública,Ágata,6.926393898268398,5.0,6.666666666666667,6.449675324675325,6.66667,7.5,8.28125,7.7916675,-1.0,5.333333333333333,6.0,7.3,10.0,0.0,0.6333333333333329,5.0,,1
RA-1165,Aluno-1165,2023,FASE 3,3M,12.0,Feminino,2023.0,Pública,Ametista,7.880716667,10.0,7.3,9.1,9.2,5.0,7.1875,7.2925,0.0,7.0,6.0,8.0,10.0,0.0,0.7000000000000002,0.0,0.0,0
RA-1166,ALUNO-1166,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.8,5.0,-2.0,,,,0
RA-1166,Aluno-1166,2023,FASE 3,3M,15.0,Feminino,2023.0,Pública,Ametista,7.307858333,5.0,4.8,9.6,8.3,7.52,7.65625,7.9175,-2.0,5.3,2.8,6.333333333333333,5.0,-1.0,1.5333333333333332,0.0,1.0,1
RA-1167,ALUNO-1167,2021,2.0,G,,,,Escola Pública,Ágata,6.294,10.0,1.8,6.3,10.0,7.5,6.9,6.2,0.0,,,3.5,10.0,,1.7,0.0,,0
RA-1167,ALUNO-1167,2022,2.0,I,,,2019.0,Escola Pública,Ametista,7.184480244200245,10.0,3.5,8.887667887667888,8.000020000000001,7.5,6.458333333333334,7.555556666666667,-1.0,5.0,2.0,3.8,2.5,-3.0,0.2999999999999998,-7.5,,0
RA-1168,ALUNO-1168,2021,1.0,M,,,,Escola Pública,Ametista,8.104,5.0,6.9,9.6,9.5,7.5,8.1,9.0,-2.0,,,6.666666666666666,5.0,,-0.23333333333333428,0.0,,0
RA-1168,ALUNO-1168,2022,1.0,M,,,2020.0,Escola Pública,Ametista,7.180380522045855,5.0,6.666666666666666,8.27689594356261,8.91668,7.5,5.833333333333334,7.333333333333333,-1.0,6.5,6.833333333333333,3.5,10.0,0.0,-3.166666666666666,5.0,,1
RA-1168,Aluno-1168,2023,FASE 3,3N,13.0,Feminino,2023.0,Pública,Quartzo,5.886625,10.0,3.5,8.8,0.0,2.52,7.65625,7.045,0.0,5.0,2.0,5.666666666666667,5.0,-1.0,2.166666666666667,-5.0,-1.0,0
